TH-2016-Aud-Library,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Library-Ventilation,EIT-2016-Aud-Library-People Definition,90.1-2007-Aud-Library-Lights Definition
TH-2016-Aud-Lobby,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Lobby-Ventilation,EIT-2016-Aud-Lobby-People Definition,90.1-2007-Aud-Lobby-Lights Definition
TH-2016-Aud-Corridor,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Corridor-Ventilation,EIT-2016-Aud-Corridor-People Definition,90.1-2007-Aud-Corridor-Lights Definition
TH-2016-Aud-Office space,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Office space-Ventilation,EIT-2016-Aud-Office space-People Definition,90.1-2007-Aud-Office space-Lights Definition
TH-2016-Aud-Conference,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Conference-Ventilation,EIT-2016-Aud-Conference-People Definition,90.1-2007-Aud-Conference-Lights Definition
TH-2016-Aud-Coffee station,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Coffee stations-Ventilation,EIT-2016-Aud-Coffee station-People Definition,90.1-2007-Aud-Coffee station-Lights Definition
TH-2016-Aud-Fast food dining,Thai Auditorium/Concert Hall Schedule Set,EIT-2016-Aud-Fast food dining-Ventilation,EIT-2016-Aud-Fast food dining-People Definition,90.1-2007-Aud-Fast food dining-Lights Definition
TH-2016-Hotel-Bedroom/Living room,Thai Hotel Schedule Set,EIT-2016-Hotel-Bedroom/Living room-Ventilation,EIT-2016-Hotel-Bedroom/Living room-People Definition,90.1-2007-Hotel-Bedroom/Living room-Lights Definition
TH-2016-Hotel-Barracks sleep area,Thai Hotel Schedule Set,EIT-2016-Hotel-Barracks sleep area-Ventilation,EIT-2016-Hotel-Barracks sleep area-People Definition,90.1-2007-Hotel-Barracks sleep area-Lights Definition
TH-2016-Hotel-Laundry,Thai Hotel Schedule Set,EIT-2016-Hotel-Laundry-Ventilation,EIT-2016-Hotel-Laundry-People Definition,90.1-2007-Hotel-Laundry-Lights Definition
TH-2016-Hotel-Laundry in dwelling unit,Thai Hotel Schedule Set,EIT-2016-Hotel-Laundry in dwelling unit-Ventilation,EIT-2016-Hotel-Laundry in dwelling unit-People Definition,90.1-2007-Hotel-Laundry in dwelling unit -Lights Definition
TH-2016-Hotel-Lobby,Thai Hotel Schedule Set,EIT-2016-Hotel-Lobby-Ventilation,EIT-2016-Hotel-Lobby-People Definition,90.1-2007-Hotel-Lobby-Lights Definition
TH-2016-Hotel-Multipurpose,Thai Hotel Schedule Set,EIT-2016-Hotel-Multipurpose-Ventilation,EIT-2016-Hotel-Multipurpose-People Definition,90.1-2007-Hotel-Multipurpose-Lights Definition
TH-2016-Hotel-Corridor,Thai Hotel Schedule Set,EIT-2016-Hotel-Corridor-Ventilation,EIT-2016-Hotel-Corridor-People Definition,90.1-2007-Hotel-Corridor-Lights Definition
TH-2016-Hotel-Office space,Thai Hotel Schedule Set,EIT-2016-Hotel-Office space-Ventilation,EIT-2016-Hotel-Office space-People Definition,90.1-2007-Hotel-Office space-Lights Definition
TH-2016-Hotel-Conference,Thai Hotel Schedule Set,EIT-2016-Hotel-Conference-Ventilation,EIT-2016-Hotel-Conference-People Definition,90.1-2007-Hotel-Conference-Lights Definition
